ip_address,device_type,country,login_speed_seconds,transfer_amount,data_downloaded_mb,is_threat
172.16.0.22,Desktop,Niger,16.9,160.71,10.51,0
10.0.0.5,Mobile,Kenya,13.8,168.08,20.98,0
10.0.0.5,Mobile,USA,11.9,217.89,10.57,0
192.168.1.15,Tablet,Niger,7.6,141.65,16.49,0
172.16.0.22,Tablet,USA,15.3,202.54,7.13,0
192.168.1.15,Desktop,India,7.4,81.29,12.91,0
10.0.0.5,Tablet,USA,8.3,101.11,14.72,0
192.168.1.10,Desktop,UK,16.0,199.07,10.71,0
192.168.1.10,Desktop,Niger,9.3,135.58,14.6,0
172.16.0.22,Mobile,UK,12.9,170.47,13.25,0
10.0.0.5,Desktop,Canada,11.4,227.21,19.07,0
192.168.1.15,Desktop,Kenya,9.8,60.62,18.27,0
10.0.0.5,Desktop,USA,11.4,171.48,2.63,0
10.0.0.5,Tablet,Kenya,6.4,159.35,14.71,0
192.168.1.10,Mobile,Kenya,12.3,98.36,3.1,0
192.168.1.15,Tablet,India,12.6,196.35,18.78,0
192.168.1.15,Tablet,USA,11.5,76.58,11.46,0
172.16.0.22,Mobile,India,10.6,194.29,8.79,0
172.16.0.22,Mobile,Canada,11.8,177.35,11.33,0
192.168.1.15,Desktop,India,14.0,216.95,16.09,0
192.168.1.15,Tablet,USA,11.3,232.33,11.16,0
10.0.0.5,Desktop,USA,13.2,204.92,13.03,0
172.16.0.22,Desktop,UK,8.6,167.12,10.49,0
192.168.1.15,Tablet,UK,12.1,153.4,17.08,0
172.16.0.22,Tablet,Canada,14.5,166.56,18.33,0
192.168.1.10,Tablet,Kenya,11.8,170.81,19.16,0
10.0.0.5,Tablet,Kenya,10.2,83.45,13.92,0
172.16.0.22,Tablet,Niger,16.2,108.73,20.34,0
172.16.0.22,Tablet,India,5.0,214.58,15.51,0
10.0.0.5,Tablet,Canada,10.0,95.26,12.26,0
172.16.0.22,Mobile,USA,11.6,237.48,11.43,0
192.168.1.10,Desktop,Kenya,17.1,218.13,11.09,0
192.168.1.10,Mobile,Canada,9.7,133.73,10.19,0
172.16.0.22,Desktop,Canada,10.2,212.16,16.07,0
192.168.1.10,Desktop,Kenya,12.0,165.24,11.71,0
10.0.0.5,Mobile,USA,15.4,166.31,10.55,0
172.16.0.22,Mobile,USA,13.0,178.71,11.61,0
192.168.1.10,Mobile,USA,11.5,203.23,19.2,0
10.0.0.5,Tablet,India,21.8,171.17,13.8,0
192.168.1.15,Tablet,USA,13.9,183.26,5.38,0
192.168.1.10,Desktop,Kenya,10.0,127.85,16.61,0
192.168.1.15,Mobile,Canada,15.2,201.08,14.32,0
10.0.0.5,Mobile,UK,12.2,167.48,16.4,0
192.168.1.10,Mobile,Canada,12.0,120.84,21.23,0
172.16.0.22,Tablet,UK,14.3,122.67,16.95,0
10.0.0.5,Desktop,Canada,10.1,94.76,17.93,0
10.0.0.5,Mobile,Niger,11.7,132.31,12.16,0
192.168.1.15,Desktop,Niger,11.2,155.93,14.38,0
192.168.1.10,Tablet,USA,12.7,90.46,17.31,0
192.168.1.15,Tablet,Canada,17.3,137.13,16.16,0
10.0.0.5,Mobile,USA,18.5,83.72,19.5,0
192.168.1.10,Mobile,Canada,11.9,159.85,6.81,0
172.16.0.22,Mobile,UK,11.2,139.77,19.97,0
192.168.1.10,Desktop,Kenya,9.3,138.75,21.26,0
10.0.0.5,Desktop,UK,14.9,197.38,13.85,0
192.168.1.10,Mobile,USA,11.8,113.78,19.34,0
172.16.0.22,Tablet,Niger,16.5,192.08,16.77,0
10.0.0.5,Mobile,USA,12.0,185.65,17.81,0
172.16.0.22,Desktop,USA,13.2,130.75,21.71,0
10.0.0.5,Desktop,Canada,12.2,67.27,16.75,0
192.168.1.15,Mobile,Kenya,13.1,249.06,22.38,0
192.168.1.10,Tablet,Canada,13.6,124.09,13.81,0
172.16.0.22,Mobile,USA,11.2,195.49,17.27,0
10.0.0.5,Mobile,India,12.3,225.4,9.24,0
10.0.0.5,Mobile,UK,17.1,188.68,12.04,0
192.168.1.10,Mobile,UK,11.8,139.33,22.38,0
192.168.1.15,Tablet,India,10.6,145.07,15.27,0
172.16.0.22,Tablet,Niger,12.3,75.8,15.98,0
192.168.1.10,Desktop,USA,18.9,139.95,21.28,0
192.168.1.15,Tablet,UK,14.7,63.71,16.13,0
192.168.1.10,Mobile,USA,7.3,160.79,12.34,0
192.168.1.10,Tablet,India,11.4,113.09,14.95,0
10.0.0.5,Mobile,USA,10.1,58.19,15.62,0
192.168.1.15,Desktop,Canada,11.7,229.64,21.09,0
192.168.1.15,Mobile,India,11.8,194.54,8.1,0
192.168.1.10,Desktop,India,17.6,82.15,7.57,0
172.16.0.22,Tablet,Canada,11.1,172.37,17.72,0
10.0.0.5,Tablet,UK,13.6,194.39,18.85,0
192.168.1.10,Tablet,UK,12.4,157.52,16.44,0
192.168.1.15,Desktop,Kenya,14.1,68.47,14.82,0
192.168.1.15,Desktop,Canada,10.5,198.01,7.97,0
192.168.1.15,Tablet,UK,12.4,235.29,18.8,0
192.168.1.15,Desktop,Kenya,11.5,89.35,13.75,0
192.168.1.15,Desktop,UK,14.6,105.21,12.18,0
192.168.1.15,Desktop,Kenya,10.3,103.58,14.87,0
192.168.1.10,Desktop,UK,9.1,160.82,12.22,0
172.16.0.22,Mobile,India,12.3,137.27,21.08,0
192.168.1.10,Tablet,Kenya,13.3,50.34,12.45,0
10.0.0.5,Tablet,Canada,9.9,134.52,16.06,0
10.0.0.5,Tablet,India,21.0,108.83,13.44,0
172.16.0.22,Mobile,India,11.0,95.95,18.03,0
192.168.1.10,Tablet,Kenya,16.5,15.12,17.86,0
192.168.1.15,Desktop,Kenya,10.8,132.78,16.4,0
10.0.0.5,Desktop,USA,7.2,159.27,17.88,0
192.168.1.10,Mobile,India,11.1,105.42,18.42,0
192.168.1.10,Tablet,Canada,8.0,90.41,16.32,0
192.168.1.10,Desktop,USA,10.7,107.88,13.93,0
10.0.0.5,Mobile,Canada,9.6,115.37,16.71,0
172.16.0.22,Mobile,Niger,10.9,186.92,12.08,0
192.168.1.10,Tablet,Canada,18.3,211.65,14.01,0
10.0.0.5,Mobile,Niger,10.5,156.08,22.57,0
192.168.1.10,Desktop,Niger,17.1,120.37,7.56,0
192.168.1.10,Desktop,India,12.0,124.73,9.88,0
172.16.0.22,Tablet,USA,8.3,114.0,10.43,0
192.168.1.10,Desktop,Kenya,11.6,169.34,21.77,0
172.16.0.22,Tablet,Kenya,15.7,158.52,15.14,0
10.0.0.5,Tablet,USA,12.2,154.01,21.06,0
192.168.1.15,Tablet,USA,14.0,107.55,17.87,0
172.16.0.22,Mobile,Kenya,14.0,89.02,12.43,0
172.16.0.22,Tablet,India,12.6,225.02,18.42,0
172.16.0.22,Desktop,USA,11.4,47.9,25.01,0
